Symbol,Narration,Expenses,Net profit,EPS,Price to earning,Revenue,Price,IPR,CPR
SUNPHARMA,16-Mar,20630.99,4715.91,19.6,41.69,25346.9,817.04,42.69,19.59798513
TCS,13-Mar,44949.57,13917.31,71.11,20.72,58866.88,1473.5,,71.11486486
TCS,14-Mar,56656.57,19163.87,97.84,22.33,75820.44,2184.56,,97.830721
TCS,15-Mar,70166.7,19852.18,101.35,25.02,90018.88,2535.56,,101.3413269
TCS,16-Mar,78056.42,24291.82,123.28,20.11,102348.24,2479.06,18.54,123.2749876
TECHM,13-Mar,5517.2,1287.8,25.94,9.34,6805,242.29,,25.94111349
TECHM,14-Mar,14647.6,3028.8,42.83,10.43,17676.4,446.59,,42.81783317
TECHM,15-Mar,18429.2,2627.7,27.35,23.27,21056.9,636.29,,27.34379029
TECHM,16-Mar,22175.8,3118,32.22,14.6,25293.8,470.3,18.54,32.21232877
ULTRACEMCO,13-Mar,15504.48,2655.43,96.85,19.1,18159.91,1850.14,,96.86596859
ULTRACEMCO,14-Mar,16461.9,2144.47,78.2,27.68,18606.37,2164.59,,78.20050578
ULTRACEMCO,15-Mar,18732.16,2014.73,73.42,38.56,20746.89,2831.44,,73.42946058
ULTRACEMCO,16-Mar,19491.24,2174.65,79.24,40.62,21665.89,3218.93,18.08,79.24495323
WIPRO,13-Mar,29772.6,6150.1,24.97,15.04,35922.7,375.53,,24.96875
WIPRO,14-Mar,33788.5,7947.1,32.25,17.1,41735.6,551.28,,32.23859649
WIPRO,15-Mar,36651.8,8660.9,35.08,16.56,45312.7,580.86,,35.07608696
WIPRO,16-Mar,40664.9,8959.7,36.26,15.55,49624.6,563.81,18.54,36.25787781
