Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ULTRACEMCO,EQ,February,3754.85,3740.2,3745,3676.15,3697.5,3696,3702.55,146734,543289280.1,15588,56027,38.18
ULTRACEMCO,EQ,February,3696,3692,3745.95,3680.05,3715,3717.9,3708.31,289342,1072970817,21980,165252,57.11
ULTRACEMCO,EQ,February,3717.9,3723,3761,3715.15,3761,3752.45,3740.43,113533,424662639.3,14689,43144,38
ULTRACEMCO,EQ,February,3752.45,3766.8,3780,3750.8,3755.25,3761.9,3764.18,130436,490984483.6,18915,65170,49.96
ULTRACEMCO,EQ,February,3761.9,3770.6,3800.5,3756,3756,3767.7,3776.19,156584,591291353.5,19740,76222,48.68
ULTRACEMCO,EQ,February,3767.7,3772,3777,3681,3706,3705.65,3702.62,159971,592312520.8,19447,99471,62.18
ULTRACEMCO,EQ,February,3705.65,3720,3761.7,3664.1,3677.2,3678.15,3701.56,280722,1039108938,61884,175333,62.46
ULTRACEMCO,EQ,February,3678.15,3676.1,3744,3634.1,3708,3714.25,3712.71,174604,648254068.9,17748,77965,44.65
ULTRACEMCO,EQ,February,3714.25,3710,3747,3679.55,3708.8,3718.5,3714.6,140555,522105968.4,14315,59670,42.45
ULTRACEMCO,EQ,February,3718.5,3725.8,3765,3687.6,3740,3756.65,3741.28,219766,822206725.4,11420,146737,66.77
ULTRACEMCO,EQ,February,3756.65,3746,3784,3725,3775,3769.35,3760.32,190129,714946433.1,15537,98719,51.92
ULTRACEMCO,EQ,February,3769.35,3776,3805,3756,3773.95,3777.8,3779.87,272588,1030347602,31340,173279,63.57
ULTRACEMCO,EQ,February,3777.8,3776.6,3800,3760,3799,3786.1,3780.66,313434,1184988767,40867,216064,68.93
ULTRACEMCO,EQ,February,3786.1,3780,3782.15,3721.75,3735,3737.2,3750.02,250820,940580477.2,10944,141023,56.22
ULTRACEMCO,EQ,February,3737.2,3756.9,3784.8,3721.5,3765.4,3774.55,3755.6,363696,1365898307,28220,270444,74.36
ULTRACEMCO,EQ,March,3774.55,3781,3781,3720,3724.25,3731.1,3742.43,281751,1054433299,25737,212984,75.59
ULTRACEMCO,EQ,March,3731.1,3745,3849.65,3745,3818.6,3817.8,3830.72,1005693,3852523432,38137,466938,46.43
ULTRACEMCO,EQ,March,3817.8,3815,3862,3782.05,3806.5,3801.75,3816.42,568550,2169825543,23621,269922,47.48
ULTRACEMCO,EQ,March,3801.75,3815.05,3830,3790.05,3807.95,3824.1,3813.47,207324,790623265.4,22296,140270,67.66
ULTRACEMCO,EQ,March,3824.1,3823.9,3824.5,3775,3812.6,3786.9,3806,124913,475419113.5,13602,80482,64.43
ULTRACEMCO,EQ,March,3786.9,3762,3812,3762,3791.05,3803.6,3799.19,283490,1077031801,14977,183645,64.78
ULTRACEMCO,EQ,March,3803.6,3789.55,3831.55,3789.55,3825.25,3822.85,3815.59,124471,474930040.7,15395,81316,65.33
ULTRACEMCO,EQ,March,3822.85,3840,3889,3827,3834.1,3852.45,3857.37,139870,539530233.1,19276,66256,47.37
ULTRACEMCO,EQ,March,3852.45,3900,4009.95,3900,3997.45,3998.95,3975.48,527726,2097962102,62472,380227,72.05
ULTRACEMCO,EQ,March,3998.95,4005.95,4036.4,3966,4009,4017.45,3995.78,224115,895514996.3,32178,144659,64.55
ULTRACEMCO,EQ,March,4017.45,4024,4093.95,4024,4051.5,4056.55,4059.84,176654,717187771.3,22587,85694,48.51
ULTRACEMCO,EQ,March,4056.55,4069.75,4073.5,4018.5,4040,4039.8,4039.75,295372,1193228817,32558,237035,80.25
ULTRACEMCO,EQ,March,4039.8,4039.8,4042,3990,4008.9,3999.8,4012.85,556593,2233523786,16068,474634,85.27
ULTRACEMCO,EQ,March,3999.8,4009.7,4028.4,3972.85,4005,4007.8,4011.18,341340,1369176266,18605,268472,78.65
ULTRACEMCO,EQ,March,4007.8,3997.3,3997.35,3912.2,3956.35,3970.25,3952.83,248260,981328714.1,26393,130565,52.59
ULTRACEMCO,EQ,March,3970.25,3985.9,4001,3959.6,3980,3974.25,3977.23,118954,473107913,12135,59176,49.75
ULTRACEMCO,EQ,March,3974.25,3975.5,4010,3944.05,3979,3973.95,3984.05,124955,497827061.4,12351,74214,59.39
ULTRACEMCO,EQ,March,3973.95,3985,3985,3934.5,3970,3951.25,3956.09,119797,473928262.9,14230,61650,51.46
ULTRACEMCO,EQ,March,3951.25,3964,3994,3963.95,3979.25,3987.3,3983.03,96646,384944015.9,13255,63084,65.27
ULTRACEMCO,EQ,March,3987.3,3987.3,4035.4,3981.55,4000,3999.35,4008.04,294631,1180891729,31451,215910,73.28
ULTRACEMCO,EQ,March,3999.35,4001,4009,3971.55,3975.35,3988.45,3990.18,324453,1294627264,32500,268577,82.78
ULTRACEMCO,EQ,March,3988.45,4000,4055,3957.25,3968.45,3984.75,3988.89,290105,1157198183,24169,221828,76.46
WIPRO,EQ,January,474.45,475.05,478.4,470.5,471.1,471.55,474.53,461428,218962643.7,10285,173310,37.56
WIPRO,EQ,January,471.55,473,474.1,465.7,467.75,467,469.33,691301,324445038.8,17856,229236,33.16
WIPRO,EQ,January,467,467,477.6,466.1,477.05,475.6,473.02,1134495,536641763,24720,596897,52.61
WIPRO,EQ,January,475.6,477.1,485.9,477.1,480.55,480.4,482.11,978187,471590324.9,33405,434056,44.37
WIPRO,EQ,January,480.4,478.5,480.1,469,469.6,469.95,471.99,1571573,741773113,25980,936639,59.6
WIPRO,EQ,January,469.95,469,474.45,461.8,472,472,469.14,735422,345016961.2,28048,336583,45.77
WIPRO,EQ,January,472,472.6,478.85,471.25,477,476.5,476.33,661572,315127784.4,19015,430016,65
